,Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
0,Senna siamea,mjohoro,1500,1500,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
1,Senna siamea,mjohoro,1500,1500,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
2,Vangueriopsis lanciflora,mgelevia,5,2,FIREWOOD SOIL_FERTILITY SHADE CONSTRUCTION ,,FALSE,Kenya,mgelevia,local_name (replaced NA),Kenya,Vangueriopsis lanciflora (Hiern) Robyns,SPECIES,ACCEPTED,Plantae,Tracheophyta,Gentianales,Rubiaceae,Vangueriopsis,Vangueriopsis lanciflora,99,Vangueriopsis lanciflora,mgelelya,Tanzania,R,vangueriopsis lanciflora,0.1,Accepted,scientific_name,mgelevia,mgelelya,both,Vangueriopsis lanciflora
3,Citrus sinensis,Kisungwa,50,30,FRUITS SHADE ,,TRUE,Kenya,kisungwa,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,kisungwa,Kenya,V,citrus sinensis,0,Accepted,scientific_name,kisungwa,kisungwa,both,Citrus sinensis
4,Persea americana,Kivakato,10,2,FRUITS SHADE ,,TRUE,Kenya,persea americana,scientific_name,Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,,,,,,,,,,both,Persea americana
5,Asimina triloba,Kivavai,20,7,FRUITS ,,TRUE,Kenya,asimina triloba,scientific_name,Kenya,Asimina triloba (L.) Dunal,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliales,Annonaceae,Asimina,Asimina triloba,99,Asimina triloba,,,,,,,,,,both,Asimina triloba
6,Mangifera indica,Yiembe,300,240,FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
7,Syzygium cordatum,Musu,20,20,OTHER ,harvest butterflies lavae,FALSE,Kenya,musu,local_name (replaced NA),Kenya,Syzygium cordatum Hochst.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Syzygium,Syzygium cordatum,99,Syzygium cordatum,Musu,Kenya,R,syzygium cordatum,0,Accepted,scientific_name,musu,Musu,both,Syzygium cordatum
8,,Msuruwache,9,9,OTHER ,none,FALSE,Kenya,msuruwache,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
9,Croton megalocarpus,,30,9,SHADE FIREWOOD ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
10,Croton megalocarpus,croton,2000,700,SHADE FIREWOOD ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
11,Melia volkensii,,300,200,FIREWOOD CONSTRUCTION FODDER ,,FALSE,Kenya,melia volkensii,scientific_name,Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,,,,,,,,,,both,Melia volkensii
12,Senna siamea,Mlezen,100,40,SHADE ,,FALSE,Kenya,mlezen,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mlezeni,Kenya,V,senna siamea,0.028571429,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
13,Azadirachta indica,muarubaini,200,100,SHADE CONSTRUCTION FIREWOOD MEDICINAL FODDER ,,FALSE,Kenya,azadirachta indica,scientific_name,Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,,,,,,,,,,both,Azadirachta indica
14,Croton megalocarpus,muthuru,20,18,SHADE ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
15,Combretum acutum,mutithi,100,86,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,combretum acutum,scientific_name,Kenya,Combretum acutum M.A.Lawson,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum acutum,100,Combretum acutum,,,,,,,,,,both,Combretum acutum
16,Melia volkensii,mukau,30,24,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,melia volkensii,scientific_name,Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,,,,,,,,,,both,Melia volkensii
17,Commiphora africana,itula,10,9,SHADE FIREWOOD ,,FALSE,Kenya,commiphora africana,scientific_name,Kenya,Commiphora africana (Rich.) Engl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Burseraceae,Commiphora,Commiphora africana,99,Commiphora africana,,,,,,,,,,both,Commiphora africana
18,Senna siamea,musukulu,100,91,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,senna siammea,scientific_name,Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,98,Senna siamea,,,,,,,,,,both,Senna siamea
19,Lannea rivae,kyusya,10,6,SHADE ,,FALSE,Kenya,lannea rivae,scientific_name,Kenya,Lannea rivae (Chiov.) Sacleux,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Lannea,Lannea rivae,100,Lannea rivae,,,,,,,,,,both,Lannea rivae
20,Terminalia brownii,muuku,50,39,SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,terminalia brownii,scientific_name,Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,,,,,,,,,,both,Terminalia brownii
21,Melia volkensii,mukau,30,24,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,melia volkensii,scientific_name,Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,,,,,,,,,,both,Melia volkensii
22,Combretum acutum,mutithi,100,86,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,combretum acutum,scientific_name,Kenya,Combretum acutum M.A.Lawson,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Combretum,Combretum acutum,100,Combretum acutum,,,,,,,,,,both,Combretum acutum
23,Terminalia brownii,muuku,50,39,SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,terminalia brownii,scientific_name,Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,,,,,,,,,,both,Terminalia brownii
24,Senna siamea,musukulu,100,91,CONSTRUCTION SHADE FIREWOOD ,,FALSE,Kenya,senna siammea,scientific_name,Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,98,Senna siamea,,,,,,,,,,both,Senna siamea
25,Croton megalocarpus,muthuru,20,18,SHADE ,,FALSE,Kenya,croton megalocarpus,scientific_name,Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,,,,,,,,,,both,Croton megalocarpus
26,Commiphora africana,itula,10,9,SHADE FIREWOOD ,,FALSE,Kenya,commiphora africana,scientific_name,Kenya,Commiphora africana (Rich.) Engl.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Burseraceae,Commiphora,Commiphora africana,99,Commiphora africana,,,,,,,,,,both,Commiphora africana
27,Lannea rivae,kyusya,10,6,SHADE ,,FALSE,Kenya,lannea rivae,scientific_name,Kenya,Lannea rivae (Chiov.) Sacleux,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Lannea,Lannea rivae,100,Lannea rivae,,,,,,,,,,both,Lannea rivae
28,Citrus sinensis,Kisungwa,20,10,SHADE FRUITS FODDER SOIL_FERTILITY FIREWOOD MEDICINAL ,,TRUE,Kenya,citrus sinensis,scientific_name,Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,,,,,,,,,,both,Citrus sinensis
29,Grevillea robusta,Mukima,100,70,SHADE FODDER FIREWOOD CONSTRUCTION ,,FALSE,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
30,Roystonea regia,royal palm,20,15,SHADE SOIL_FERTILITY ,flower,FALSE,Kenya,royal palm,local_name (replaced NA),Kenya,Roystonea regia (Kunth) O.F.Cook,SPECIES,ACCEPTED,Plantae,Tracheophyta,Arecales,Arecaceae,Roystonea,Roystonea regia,100,Roystonea regia,Royal palm,Kenya,V,roystonea regia,0,Accepted,scientific_name,royal palm,Royal palm,both,Roystonea regia
31,Mangifera indica,Maembe,20,12,SHADE FRUITS FIREWOOD SOIL_FERTILITY ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
32,Ricinus communis,Masungwa,150,120,SHADE FRUITS FIREWOOD SOIL_FERTILITY ,,TRUE,Kenya,masungwa,local_name (replaced NA),Kenya,Ricinus communis L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Ricinus,Ricinus communis,100,Ricinus communis,Manwa,Kenya,R,ricinus communis,0.1,Accepted,scientific_name,masungwa,Manwa,both,Ricinus communis
33,Grevillea robusta,gluveria,3200,3000,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE ,,FALSE,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
34,Musa sapientum,Iiyu,500,500,SOIL_FERTILITY FRUITS SHADE FODDER ,,TRUE,Kenya,iiyu,local_name (replaced NA),Kenya,Musa × sapientum L.,SPECIES,SYNONYM,Plantae,Tracheophyta,Zingiberales,Musaceae,Musa,Musa paradisiaca,100,Musa sapientum,kiiyu,Kenya,V,musa sapientum,0.066666667,Accepted,scientific_name,iiyu,kiiyu,both,Musa sapientum
35,Carica papaya,kivavai,100,70,FRUITS ,,TRUE,Kenya,carica papaya,scientific_name,Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,,,,,,,,,,both,Carica papaya
36,Persea americana,ivakato,200,180,SOIL_FERTILITY FRUITS FIREWOOD SHADE ,,TRUE,Kenya,persea americana,scientific_name,Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,,,,,,,,,,both,Persea americana
37,Citrus sinensis,Kisungwa,50,40,SOIL_FERTILITY FRUITS FIREWOOD SHADE ,,TRUE,Kenya,kisungwa,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,kisungwa,Kenya,V,citrus sinensis,0,Accepted,scientific_name,kisungwa,kisungwa,both,Citrus sinensis
38,Melia volkensii,mukau,10,8,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE FODDER ,,FALSE,Kenya,mukau,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Mukau,Kenya,R,melia volkensii,0,Accepted,scientific_name,mukau,Mukau,both,Melia volkensii
39,Passiflora edulis,makundi,1000,700,SOIL_FERTILITY FRUITS ,,TRUE,Kenya,passiflora edulis,scientific_name,Kenya,Passiflora edulis Sims,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,100,Passiflora edulis,,,,,,,,,,both,Passiflora edulis
40,Carica papaya,Ivavai,300,250,SOIL_FERTILITY FRUITS ,,TRUE,Kenya,carica papaya,scientific_name,Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,,,,,,,,,,both,Carica papaya
41,Terminalia brownii,kiuuku,100,70,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE ,,FALSE,Kenya,kiuuku,local_name (replaced NA),Kenya,Terminalia brownii Fresen.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia brownii,100,Terminalia brownii,kiuuku,Kenya,V,terminalia brownii,0,Accepted,scientific_name,kiuuku,kiuuku,both,Terminalia brownii
42,Carica papaya,pawpaw,3,1,SOIL_FERTILITY FRUITS ,,TRUE,Kenya,carica papaya,scientific_name,Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,,,,,,,,,,both,Carica papaya
43,Mangifera indica,KIEMBE,20,12,FIREWOOD SHADE FRUITS ,,TRUE,Kenya,kiembe,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,kiembe,Kenya,V,mangifera indica,0,Accepted,scientific_name,kiembe,kiembe,both,Mangifera indica
44,Senna siamea,mjohoro,300,287,FIREWOOD SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
45,Monoon longifolium,Ashok,1200,1150,SHADE ,,FALSE,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
46,Annona cherimola,kitomoko,10,3,FRUITS FIREWOOD ,,TRUE,Kenya,kitomoko,local_name (replaced NA),Kenya,Annona cherimola Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliales,Annonaceae,Annona,Annona cherimola,100,Annona cherimola,kitomoko,Kenya,V,annona cherimola,0,Accepted,scientific_name,kitomoko,kitomoko,both,Annona cherimola
47,Annona cherimola,kitomoko,10,3,FRUITS FIREWOOD ,,TRUE,Kenya,kitomoko,local_name (replaced NA),Kenya,Annona cherimola Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliales,Annonaceae,Annona,Annona cherimola,100,Annona cherimola,kitomoko,Kenya,V,annona cherimola,0,Accepted,scientific_name,kitomoko,kitomoko,both,Annona cherimola
48,Azadirachta indica,mwarubaini,7,3,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,FALSE,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
49,Jacaranda mimosifolia,Jacarada,20,10,SOIL_FERTILITY CONSTRUCTION FIREWOOD ,,FALSE,Kenya,jacarada,local_name (replaced NA),Kenya,Jacaranda mimosifolia D.Don,SPECIES,ACCEPTED,Plantae,Tracheophyta,Lamiales,Bignoniaceae,Jacaranda,Jacaranda mimosifolia,100,Jacaranda mimosifolia,Jacaranda,Uganda,R,jacaranda mimosifolia,0.022222222222222254,Accepted,scientific_name,jacarada,Jacaranda,both,Jacaranda mimosifolia
50,Citrus sinensis,Masungwa,500,350,SOIL_FERTILITY SHADE FRUITS FIREWOOD ,,TRUE,Kenya,citrus sinensis,scientific_name,Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,,,,,,,,,,both,Citrus sinensis
51,Azadirachta indica,neem,15,11,SHADE FODDER SOIL_FERTILITY CONSTRUCTION FIREWOOD MEDICINAL ,,FALSE,Kenya,azadirachta indica,scientific_name,Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,,,,,,,,,,both,Azadirachta indica
52,Mangifera indica,mango,5,3,SOIL_FERTILITY FRUITS ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
53,Mangifera indica,maembe,100,75,FRUITS SHADE ,,TRUE,Kenya,mangifera indica,scientific_name,Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,,,,,,,,,,both,Mangifera indica
54,Citrus sinensis,musungwa,100,80,FRUITS SHADE MEDICINAL ,,TRUE,Kenya,citrus sinensis,scientific_name,Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,,,,,,,,,,both,Citrus sinensis
55,Leucaena diversifolia,leucaena,25,25,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,leucaena,local_name (replaced NA),Kenya,Leucaena diversifolia (Schltdl.) Benth.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Leucaena,Leucaena diversifolia,100,Leucaena diversifolia,Leucaena,Uganda,R,leucaena diversifolia,0,Accepted,scientific_name,leucaena,Leucaena,both,Leucaena diversifolia
56,Melia azedarach,mpenda bure,10,10,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
57,Senna siamea,mlezeni,15,15,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,mlezeni,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mlezeni,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
58,Senna siamea,mlezeni,500,500,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,mlezeni,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mlezeni,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
59,Citrus sinensis,Orange tree,12,12,FRUITS ,,TRUE,Kenya,orange tree,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,orange tree,Kenya,V,citrus sinensis,0,Accepted,scientific_name,kisungwa,kisungwa,both,Citrus sinensis
60,Melia volkensii,,11,4,CONSTRUCTION SHADE ,,FALSE,Kenya,melia volkensii,scientific_name,Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,,,,,,,,,,both,Melia volkensii
61,Artocarpus heterophyllus,mfenesi,8,3,FRUITS ,,TRUE,Kenya,mfenesi,local_name (replaced NA),Kenya,Artocarpus heterophyllus Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Rosales,Moraceae,Artocarpus,Artocarpus heterophyllus,100,Artocarpus heterophyllus,Mfenesi,Kenya,R,artocarpus heterophyllus,0,Accepted,scientific_name,mfenesi,Mfenesi,both,Artocarpus heterophyllus
62,Croton megalocarpus,croton,35,35,SHADE ,none,FALSE,Kenya,croton,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Croton,Uganda,R,croton megalocarpus,0,Accepted,scientific_name,muthulu,muthulu,both,Croton megalocarpus
63,Senna siamea,mlezeni,30,9,CONSTRUCTION FODDER ,,FALSE,Kenya,mlezeni,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mlezeni,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
64,Grevillea robusta,,50,24,CONSTRUCTION ,,FALSE,Kenya,grevillea robusta,scientific_name,Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,,,,,,,,,,both,Grevillea robusta
65,Grevillea robusta,Gluvelia,40,35,CONSTRUCTION SHADE ,,FALSE,Kenya,gluvelia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,gruvelia,,T,grevillea robusta,0.075,Accepted,scientific_name,mukima,Mukima,both,Grevillea robusta
66,Psidium guajava,kipera,5,2,FRUITS ,,TRUE,Kenya,kipera,local_name (replaced NA),Kenya,Psidium guajava L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Myrtaceae,Psidium,Psidium guajava,100,Psidium guajava,kipera,Kenya,V,psidium guajava,0,Accepted,scientific_name,kipera,kipera,both,Psidium guajava
67,Annona cherimola,kitomoko mwitu,1,1,FRUITS ,,TRUE,Kenya,kitomoko mwitu,local_name (replaced NA),Kenya,Annona cherimola Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Magnoliales,Annonaceae,Annona,Annona cherimola,100,Annona cherimola,kitomoko,Kenya,V,annona cherimola,0.085714286,Accepted,scientific_name,kitomoko,kitomoko,both,Annona cherimola
68,Terminalia catappa,Mkungu,25,23,SHADE FRUITS ,,TRUE,Kenya,mkungu,local_name (replaced NA),Kenya,Terminalia catappa L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Myrtales,Combretaceae,Terminalia,Terminalia catappa,100,Terminalia catappa,Mkungu,Kenya,R,terminalia catappa,0,Accepted,scientific_name,mkungu,Mkungu,both,Terminalia catappa
69,Senna siamea,mjohoro,50,30,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
70,Persea americana,avocado,5,3,SHADE FRUITS ,,TRUE,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
71,Azadirachta indica,mwarubaini,15,15,SHADE MEDICINAL ,,FALSE,Kenya,mwarubaini,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Mwarubaini,Kenya,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
72,Azadirachta indica,neem,30,24,MEDICINAL ,,FALSE,Kenya,neem,local_name (replaced NA),Kenya,Azadirachta indica A.Juss.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Azadirachta,Azadirachta indica,100,Azadirachta indica,Neem,Uganda,R,azadirachta indica,0,Accepted,scientific_name,mwarubaini,Mwarubaini,both,Azadirachta indica
73,Grevillea robusta,grvillea,50,40,CONSTRUCTION FIREWOOD ,,FALSE,Kenya,grvillea,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grevillea,,T,grevillea robusta,0.029629629629629672,Accepted,scientific_name,mukima,Mukima,both,Grevillea robusta
